nohup: ignoring input
[SDP] flash=False, mem_efficient=False, math=True (for higher-order gradients)
Training artifacts will be saved to: ../checkpoints/mmgj_transformer_default_2026-03-16_11-07-10

  0%|                                                                                       | 0/5000000 [00:00<?, ?it/s]
[LGN (1/1)] P-Loss: 5.759 | M-Unroll: 79.224:   0%|                                         | 0/5000000 [00:02<?, ?it/s]
[LGN (1/1)] P-Loss: 5.759 | M-Unroll: 79.224:   0%|                            | 1/5000000 [00:02<3173:35:51,  2.28s/it]
[Work (1/5)] P-Loss: 35.694 | M-Loss: 120.992:   0%|                           | 1/5000000 [00:04<3173:35:51,  2.28s/it]
[Work (1/5)] P-Loss: 35.694 | M-Loss: 120.992:   0%|                           | 2/5000000 [00:04<2936:23:53,  2.11s/it]
[Work (2/5)] P-Loss: 44.320 | M-Loss: 128.510:   0%|                           | 2/5000000 [00:06<2936:23:53,  2.11s/it]
[Work (2/5)] P-Loss: 44.320 | M-Loss: 128.510:   0%|                           | 3/5000000 [00:06<2717:43:15,  1.96s/it]
[Work (3/5)] P-Loss: 39.674 | M-Loss: 124.683:   0%|                           | 3/5000000 [00:07<2717:43:15,  1.96s/it]
[Work (3/5)] P-Loss: 39.674 | M-Loss: 124.683:   0%|                           | 4/5000000 [00:07<2567:25:13,  1.85s/it]
[Work (4/5)] P-Loss: 38.120 | M-Loss: 123.111:   0%|                           | 4/5000000 [00:09<2567:25:13,  1.85s/it]
[Work (4/5)] P-Loss: 38.120 | M-Loss: 123.111:   0%|                           | 5/5000000 [00:09<2485:34:36,  1.79s/it]
[Work (5/5)] P-Loss: 44.357 | M-Loss: 129.894:   0%|                           | 5/5000000 [00:11<2485:34:36,  1.79s/it]
[Work (5/5)] P-Loss: 44.357 | M-Loss: 129.894:   0%|                           | 6/5000000 [00:11<2473:03:42,  1.78s/it]
[LGN (1/1)] P-Loss: 5.793 | M-Unroll: 76.819:   0%|                            | 6/5000000 [00:12<2473:03:42,  1.78s/it]
[LGN (1/1)] P-Loss: 5.793 | M-Unroll: 76.819:   0%|                            | 7/5000000 [00:12<2344:02:45,  1.69s/it]
[Work (1/5)] P-Loss: 33.844 | M-Loss: 119.936:   0%|                           | 7/5000000 [00:14<2344:02:45,  1.69s/it]
[Work (1/5)] P-Loss: 33.844 | M-Loss: 119.936:   0%|                           | 8/5000000 [00:14<2344:39:05,  1.69s/it]
[Work (2/5)] P-Loss: 44.428 | M-Loss: 129.605:   0%|                           | 8/5000000 [00:16<2344:39:05,  1.69s/it]
[Work (2/5)] P-Loss: 44.428 | M-Loss: 129.605:   0%|                           | 9/5000000 [00:16<2341:28:29,  1.69s/it]
[Work (3/5)] P-Loss: 47.222 | M-Loss: 132.656:   0%|                           | 9/5000000 [00:17<2341:28:29,  1.69s/it]
[Work (3/5)] P-Loss: 47.222 | M-Loss: 132.656:   0%|                          | 10/5000000 [00:17<2347:46:42,  1.69s/it]
[Work (4/5)] P-Loss: 58.475 | M-Loss: 144.785:   0%|                          | 10/5000000 [00:19<2347:46:42,  1.69s/it]
[Work (4/5)] P-Loss: 58.475 | M-Loss: 144.785:   0%|                          | 11/5000000 [00:19<2345:38:50,  1.69s/it]
[Work (5/5)] P-Loss: 53.440 | M-Loss: 138.589:   0%|                          | 11/5000000 [00:21<2345:38:50,  1.69s/it]
[Work (5/5)] P-Loss: 53.440 | M-Loss: 138.589:   0%|                          | 12/5000000 [00:21<2354:30:12,  1.70s/it]
[LGN (1/1)] P-Loss: 6.219 | M-Unroll: 79.099:   0%|                           | 12/5000000 [00:22<2354:30:12,  1.70s/it]
[LGN (1/1)] P-Loss: 6.219 | M-Unroll: 79.099:   0%|                           | 13/5000000 [00:22<2287:10:09,  1.65s/it]
[Work (1/5)] P-Loss: 45.934 | M-Loss: 133.014:   0%|                          | 13/5000000 [00:24<2287:10:09,  1.65s/it]
[Work (1/5)] P-Loss: 45.934 | M-Loss: 133.014:   0%|                          | 14/5000000 [00:24<2319:50:07,  1.67s/it]
[Work (2/5)] P-Loss: 41.812 | M-Loss: 126.841:   0%|                          | 14/5000000 [00:26<2319:50:07,  1.67s/it]
[Work (2/5)] P-Loss: 41.812 | M-Loss: 126.841:   0%|                          | 15/5000000 [00:26<2324:45:32,  1.67s/it]
[Work (3/5)] P-Loss: 42.807 | M-Loss: 128.266:   0%|                          | 15/5000000 [00:27<2324:45:32,  1.67s/it]
[Work (3/5)] P-Loss: 42.807 | M-Loss: 128.266:   0%|                          | 16/5000000 [00:27<2334:46:18,  1.68s/it]
[Work (4/5)] P-Loss: 41.670 | M-Loss: 127.008:   0%|                          | 16/5000000 [00:29<2334:46:18,  1.68s/it]
[Work (4/5)] P-Loss: 41.670 | M-Loss: 127.008:   0%|                          | 17/5000000 [00:29<2339:37:22,  1.68s/it]
[Work (5/5)] P-Loss: 44.593 | M-Loss: 129.348:   0%|                          | 17/5000000 [00:31<2339:37:22,  1.68s/it]
[Work (5/5)] P-Loss: 44.593 | M-Loss: 129.348:   0%|                          | 18/5000000 [00:31<2352:49:52,  1.69s/it]
[LGN (1/1)] P-Loss: 4.732 | M-Unroll: 80.403:   0%|                           | 18/5000000 [00:32<2352:49:52,  1.69s/it]
[LGN (1/1)] P-Loss: 4.732 | M-Unroll: 80.403:   0%|                           | 19/5000000 [00:32<2274:28:56,  1.64s/it]
[Work (1/5)] P-Loss: 37.691 | M-Loss: 124.658:   0%|                          | 19/5000000 [00:34<2274:28:56,  1.64s/it]
[Work (1/5)] P-Loss: 37.691 | M-Loss: 124.658:   0%|                          | 20/5000000 [00:34<2278:47:39,  1.64s/it]
[Work (2/5)] P-Loss: 39.473 | M-Loss: 125.890:   0%|                          | 20/5000000 [00:36<2278:47:39,  1.64s/it]
[Work (2/5)] P-Loss: 39.473 | M-Loss: 125.890:   0%|                          | 21/5000000 [00:36<2309:45:07,  1.66s/it]
[Work (3/5)] P-Loss: 43.614 | M-Loss: 130.760:   0%|                          | 21/5000000 [00:37<2309:45:07,  1.66s/it]
[Work (3/5)] P-Loss: 43.614 | M-Loss: 130.760:   0%|                          | 22/5000000 [00:37<2353:27:46,  1.69s/it]
[Work (4/5)] P-Loss: 36.540 | M-Loss: 122.970:   0%|                          | 22/5000000 [00:39<2353:27:46,  1.69s/it]
[Work (4/5)] P-Loss: 36.540 | M-Loss: 122.970:   0%|                          | 23/5000000 [00:39<2352:45:24,  1.69s/it]
[Work (5/5)] P-Loss: 48.642 | M-Loss: 136.357:   0%|                          | 23/5000000 [00:41<2352:45:24,  1.69s/it]
[Work (5/5)] P-Loss: 48.642 | M-Loss: 136.357:   0%|                          | 24/5000000 [00:41<2358:39:30,  1.70s/it]
[LGN (1/1)] P-Loss: 4.365 | M-Unroll: 82.455:   0%|                           | 24/5000000 [00:42<2358:39:30,  1.70s/it]
[LGN (1/1)] P-Loss: 4.365 | M-Unroll: 82.455:   0%|                           | 25/5000000 [00:42<2281:55:37,  1.64s/it]
[Work (1/5)] P-Loss: 39.164 | M-Loss: 125.676:   0%|                          | 25/5000000 [00:44<2281:55:37,  1.64s/it]
[Work (1/5)] P-Loss: 39.164 | M-Loss: 125.676:   0%|                          | 26/5000000 [00:44<2285:31:15,  1.65s/it]
[Work (2/5)] P-Loss: 35.014 | M-Loss: 120.661:   0%|                          | 26/5000000 [00:46<2285:31:15,  1.65s/it]
[Work (2/5)] P-Loss: 35.014 | M-Loss: 120.661:   0%|                          | 27/5000000 [00:46<2303:48:54,  1.66s/it]
[Work (3/5)] P-Loss: 50.668 | M-Loss: 136.645:   0%|                          | 27/5000000 [00:47<2303:48:54,  1.66s/it]
[Work (3/5)] P-Loss: 50.668 | M-Loss: 136.645:   0%|                          | 28/5000000 [00:47<2318:34:27,  1.67s/it]
[Work (4/5)] P-Loss: 44.619 | M-Loss: 130.812:   0%|                          | 28/5000000 [00:49<2318:34:27,  1.67s/it]
[Work (4/5)] P-Loss: 44.619 | M-Loss: 130.812:   0%|                          | 29/5000000 [00:49<2359:47:26,  1.70s/it]
[Work (5/5)] P-Loss: 46.054 | M-Loss: 131.526:   0%|                          | 29/5000000 [00:51<2359:47:26,  1.70s/it]
[Work (5/5)] P-Loss: 46.054 | M-Loss: 131.526:   0%|                          | 30/5000000 [00:51<2377:07:08,  1.71s/it]
