nohup: ignoring input
[SDP] flash=False, mem_efficient=False, math=True (for higher-order gradients)
Training artifacts will be saved to: ../checkpoints/mmgj_transformer_default_2026-03-16_08-58-26

  0%|                                                                                       | 0/5000000 [00:00<?, ?it/s]
[LGN (1/1)] P-Loss: 6.663 | M-Unroll: 76.885:   0%|                                         | 0/5000000 [00:02<?, ?it/s]
[LGN (1/1)] P-Loss: 6.663 | M-Unroll: 76.885:   0%|                            | 1/5000000 [00:02<3018:28:57,  2.17s/it]
[Work (1/5)] P-Loss: 48.085 | M-Loss: 130.905:   0%|                           | 1/5000000 [00:04<3018:28:57,  2.17s/it]
[Work (5/5)] P-Loss: 48.178 | M-Loss: 133.234:   0%|                          | 23/5000000 [00:41<2416:08:44,  1.74s/it]
[Work (5/5)] P-Loss: 48.178 | M-Loss: 133.234:   0%|                          | 24/5000000 [00:41<2423:24:13,  1.74s/it]
[LGN (1/1)] P-Loss: 4.723 | M-Unroll: 83.466:   0%|                           | 24/5000000 [00:43<2423:24:13,  1.74s/it]
[LGN (1/1)] P-Loss: 4.723 | M-Unroll: 83.466:   0%|                           | 25/5000000 [00:43<2341:59:09,  1.69s/it]
[Work (1/5)] P-Loss: 61.536 | M-Loss: 145.948:   0%|                          | 25/5000000 [00:45<2341:59:09,  1.69s/it]
[Work (1/5)] P-Loss: 61.536 | M-Loss: 145.948:   0%|                          | 26/5000000 [00:45<2346:26:05,  1.69s/it]
[Work (2/5)] P-Loss: 56.055 | M-Loss: 142.291:   0%|                          | 26/5000000 [00:46<2346:26:05,  1.69s/it]
[Work (2/5)] P-Loss: 56.055 | M-Loss: 142.291:   0%|                          | 27/5000000 [00:46<2358:32:13,  1.70s/it]
[Work (3/5)] P-Loss: 52.108 | M-Loss: 138.996:   0%|                          | 27/5000000 [00:48<2358:32:13,  1.70s/it]
[Work (3/5)] P-Loss: 52.108 | M-Loss: 138.996:   0%|                          | 28/5000000 [00:48<2377:15:49,  1.71s/it]
[Work (4/5)] P-Loss: 51.688 | M-Loss: 136.703:   0%|                          | 28/5000000 [00:50<2377:15:49,  1.71s/it]
[Work (4/5)] P-Loss: 51.688 | M-Loss: 136.703:   0%|                          | 29/5000000 [00:50<2389:59:35,  1.72s/it]
[Work (5/5)] P-Loss: 44.055 | M-Loss: 129.134:   0%|                          | 29/5000000 [00:52<2389:59:35,  1.72s/it]
